069,2009:11:26,FR,-,Ticket ,Mobistar ,Constant ,carte téléphonique Clémentine
070,2009:12:04,FR,-,Reçu ,Transport Taxi ,Constant ,remboursement taxi Michael 
071,2009:06:27,NL,-,Facture,Femke Snelting ,Constant ,développement festival 
072,2009:11:27,FR,-,Ticket ,Base ,Constant ,carte téléphonique Pierre Deruisseau 
073,2009:11:29,FR,-,Ticket ,Transport Taxi ,Constant ,taxi Clémentine 
074,2009:11:29,FR,-,Ticket ,Ecu Taxi ,Constant ,taxi Nicolas / Pierre 
075,2009:11:30,FR,-,Ticket ,Octa + Bruxelles ,Constant ,essence 
076,2009:11:27,FR,-,Ticket ,SNCB ,Constant ,transports publiques des intervenants
077,2009:11:08,NL,-,Ticket ,NL Railways,Constant ,ticket Rotterdam – Bruxelles d'Ivan
078,2009:11:20,EN,-,Ticket ,Eurostar ,Constant ,ticket Glasgow – London – Bruxelles de Simon Yuill
079,2011:11:04,FR,-,Ticket ,Vueling,Constant ,ticket Barcelone – Bruxelles de Nicolas Malevé
080,2009:11:30,FR,MM ,Facture salaire Monique Leeuw,Constant ,-,facture pour 4 interprètes 
081,2009:12:03,FR,-,Facture salaire T-Interim,Constant ,-,facture prestation Hermans Krijn 
082,2009:12:11,EN,-,Formulaire honoraire ,Constant ,Christophe Lazaro,honoraire pour participation festival
083,2009:12:04,NL,-,Régime de la petite indemnité,Constant ,Laïa Sadurní ,rémunération pour prestation artistique
084,2009:12:03,NL,-,Régime de la petite indemnité,Constant ,Claire-Marie Hartmann,rémunération pour prestation artistique
085,2009:12:04,FR,-,Régime de la petite indemnité,Constant ,Rosalie Stevens,rémunération pour prestation artistique
086,2009:12:10,EN,-,Formulaire honoraire ,Constant ,Denis Devos,honoraire pour participation festival
087,2009:12:14,EN,-,Formulaire honoraire ,Constant ,Michael Murtaugh ,honoraire pour participation festival
088,2009:11:29,EN,-,Formulaire honoraire ,Constant ,Ludivine Loiseau ,honoraire pour participation festival
089,2009:11:29,EN,-,Formulaire honoraire ,Constant ,Ivan Munroy Lopez,honoraire pour participation festival 
090,2009:11:29,EN,-,Formulaire honoraire ,Constant ,Anne-James Chaton,honoraire pour participation festival 
091,2009:11:25,EN,-,Formulaire honoraire ,Constant ,Marloes Van Der Hoek ,honoraire pour participation festival 
092,2009:11:29,EN,-,Formulaire honoraire ,Constant ,Jurgen Pieters ,honoraire pour participation festival 
093,2009:11:29,EN,MM ,Formulaire honoraire ,Constant ,Michael Moss ,honoraire pour participation festival 
094,2009:11:23,FR,-,Formulaire honoraire ,Constant ,Alice Riou ,honoraire pour participation festival 
095,2009:11:23,FR,-,Formulaire honoraire ,Constant ,Tatiana Bohm ,honoraire pour participation festival 
096,2009:11:19,FR,-,Ticket ,Dynaprint,Constant ,copies pour expo 
097,2009:11:16,FR,-,Formulaire remboursement frais ,Constant ,Pierre Deruisseau,achat étagères et verre pour expo
098,2009:11:20,FR,-,Formulaire remboursement frais ,Constant ,Pierre Deruisseau,achat tapis pour expo
099,2009:11:18,FR,-,Ticket ,Fava ,Constant ,achat matériel divers
100,2009:11:20,FR,-,Ticket ,Silicon Group,Constant ,achat matériel divers
101,2009:11:21,FR,-,Ticket ,Brico,Constant ,achat matériel divers
102,2009:11:22,FR,-,Ticket ,Sans titre ,Constant ,achat ? 
103,2009:11:21,FR,-,Ticket ,Brico,Constant ,achat matériel divers
104,2009:11:20,-,-,Ticket ,Sans titre ,Constant ,achat ? 
105,2009:11:20,FR,-,Ticket ,Elak electronics ,Constant ,achat matériel divers 
106,2009:11:20,FR,-,Ticket ,Elak electronics ,Constant ,achat matériel divers 
107,2009:11:20,FR,-,Ticket ,Bio Shop ,Constant ,catering
108,2009:11:21,FR,-,Ticket ,ISDT ltd ,Constant ,achat ? 
109,2009:11:20,FR,-,Ticket ,Elak electronics ,Constant ,achat matériel divers 
110,2009:11:20,EN,-,Ticket ,British railways ,Simon Yuill,ticket Glasgow – London 
111,2009:11:20,EN,-,Ticket ,Eurostar ,Simon Yuill,ticket London – Bruxelles 
112,-,NL,-,Formulaire remboursement frais ,Constant ,Wendy Van Wynsberghe ,remboursement achat matériel divers 
113,2009:11:10,NL,-,Facture,Permadocument – ph7,Constant ,expertise salle expo
114,2009:11:04,FR,-,Ticket ,MediaMarkt ,Constant ,achat lecteurs mp3
115,2009:11:02,NL,-,Formulaire remboursement frais ,Peter Westenberg ,Constant ,achat matériel divers 
116,2009:11:03,FR,-,Ticket ,Elak electronics ,Constant ,achat matériel divers 
117,2009:11:28,FR,MM ,Ticket ,Eurostar ,Michael Moss ,ticket London – Bruxelles 
118,2009:11:29,FR,MM ,Ticket ,Eurostar ,Michael Moss ,ticket Bruxelles – London 
119,2009:11:09,FR,-,Facture,Dictee-Center Sakellario ,Constant ,achat machine ? 
120,2009:10:30,FR,-,Facture,Imprimerie Stimanne,Constant ,Impression 3000 flyers 
121,2009:11:28,FR,-,Ticket ,Eurostar ,Matthew Fuller ,ticket London – Bruxelles
122,2009:09:30,FR,-,Facture,Cambio ,Constant ,location voiture 
123,2009:11:02,FR,-,Formulaire remboursement frais ,Constant ,Pierre Deruisseau,remboursement achat timbres
124,2009:11:02,FR,-,Formulaire remboursement frais ,Constant ,Pierre Deruisseau,remboursement achat matériel bureau
125,2009:11:02,FR,-,Formulaire remboursement frais ,Constant ,Pierre Deruisseau,remboursement achat timbres
126,2009:11:28,FR,-,Mail ,SNCB ,Anne-James Chaton,confirmation ticket Paris – Bruxelles - Paris
127,2008:12:23,NL,-,Facture,Stichting Polaris,Peter Westenberg ,logement Berlin 
128,2009:11:04,NL,MM ,Facture,Vlaamse Gemeenschapscommisie ,Constant ,location micros 19-30/11/09
129,2009:09:02,NL,MM ,Facture,Vlaamse Gemeenschapscommisie ,Constant ,location projecteur et écran 24-29/11/09
130,2009:07:27,FR,-,Ticket ,Pizza D'Alessio,Constant ,catering VJ12 meeting
131,2009:07:22,NL,-,Formulaire remboursement frais ,Constant ,An Mertens – Peter Westenberg,catering VJ12 meeting
132,2009:07:15,NL,-,Formulaire remboursement frais ,Constant ,Femke Snelting ,catering VJ12 meeting
